case_id,center,modality_availability,slice_index,slice_reason,montage_path,visual_review_status
Case8021,CenterH,LGE-only,4,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case8021_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case3010,CenterC,C0+LGE+T2,3,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case3010_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case3036,CenterC,C0+LGE+T2,2,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case3036_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case1022,CenterA,LGE-only,14,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case1022_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case2019,CenterB,C0+LGE+T2,3,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case2019_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case1045,CenterA,LGE-only,6,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case1045_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case1011,CenterA,LGE-only,1,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case1011_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case1054,CenterA,LGE-only,7,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case1054_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case8017,CenterH,LGE-only,5,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case8017_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case1029,CenterA,LGE-only,17,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case1029_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case3012,CenterC,C0+LGE+T2,1,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case3012_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case2034,CenterB,C0+LGE+T2,4,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case2034_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case2025,CenterB,C0+LGE+T2,5,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case2025_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case2009,CenterB,C0+LGE+T2,3,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case2009_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case2010,CenterB,C0+LGE+T2,4,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case2010_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case3017,CenterC,C0+LGE+T2,1,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case3017_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case2026,CenterB,C0+LGE+T2,3,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case2026_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case1033,CenterA,LGE-only,16,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case1033_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case2029,CenterB,C0+LGE+T2,5,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case2029_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
Case1014,CenterA,LGE-only,4,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages/Case1014_montage.png,CODEX_VISUAL_REVIEW_COMPLETED
