case_id,center,canonical_modalities,slice_index,slice_reason,atlas_path,has_gt,has_nnunet,has_mosaic_clean,has_mosaic_full_final,mosaic_full_final_prediction,has_prism,has_care_bound,has_lge,has_t2,has_c0,visual_review_status
Case3010,CenterC,LGE+T2+C0,3,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case3010_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case3010_mosaic_full_final_pred.nii.gz,False,True,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case3036,CenterC,LGE+T2+C0,2,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case3036_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case3036_mosaic_full_final_pred.nii.gz,True,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case2019,CenterB,LGE+T2+C0,3,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2019_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case2019_mosaic_full_final_pred.nii.gz,True,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case3012,CenterC,LGE+T2+C0,1,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case3012_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case3012_mosaic_full_final_pred.nii.gz,False,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case2034,CenterB,LGE+T2+C0,4,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2034_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case2034_mosaic_full_final_pred.nii.gz,True,True,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case2025,CenterB,LGE+T2+C0,5,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2025_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case2025_mosaic_full_final_pred.nii.gz,False,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case2009,CenterB,LGE+T2+C0,3,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2009_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case2009_mosaic_full_final_pred.nii.gz,True,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case2010,CenterB,LGE+T2+C0,4,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2010_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case2010_mosaic_full_final_pred.nii.gz,False,True,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case3017,CenterC,LGE+T2+C0,1,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case3017_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case3017_mosaic_full_final_pred.nii.gz,True,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
Case2026,CenterB,LGE+T2+C0,3,max_lesion_fn_fp_disagreement,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2026_v3_atlas.png,True,True,True,True,results/20260730_care_failure_forensics_deep_research_packet/runtime/v3_mosaic_full_final_atlas_predictions/preds/Case2026_mosaic_full_final_pred.nii.gz,False,False,True,True,True,CODEX_VISUAL_REVIEW_PENDING
