case_id,center,class_id,complete_trimodal,component_count,dice,empty_prediction,gt_positive,gt_volume_mm3,hd95,modality_group,no_t2_edema_predicted_voxels,pathology,precision,pred_volume_mm3,prediction_positive,recall,remote_fp_volume_mm3,seed,source_prefix,variant,volume_ratio
Case1021,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_teacher_full_view_seed20260724_epoch075_74efedf6,teacher_full_view,
Case1021,CenterA,5,0,14,0.3442283822920976,0,1,29709.635178720408,21.709254494985597,LGE-only,0,scar,0.6390168970814132,10951.853058520377,1,0.23556058890147225,0.0,20260724,screen_teacher_full_view_seed20260724_epoch075_74efedf6,teacher_full_view,0.3686296715741789
Case1029,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_teacher_full_view_seed20260724_epoch075_74efedf6,teacher_full_view,
Case1029,CenterA,5,0,15,0.20982905982905983,0,1,5159.259845473123,51.79779319618523,LGE-only,0,scar,0.1199023199023199,36114.81891831186,1,0.8393162393162393,70.55398079279485,20260724,screen_teacher_full_view_seed20260724_epoch075_74efedf6,teacher_full_view,7.0
Case1033,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_teacher_full_view_seed20260724_epoch075_74efedf6,teacher_full_view,
Case1033,CenterA,5,0,2,0.59266484588373,0,1,35991.34945192447,5.381561856536401,LGE-only,0,scar,0.4923027062064495,54423.576934042125,1,0.7444253859348199,0.0,20260724,screen_teacher_full_view_seed20260724_epoch075_74efedf6,teacher_full_view,1.5121293800539084
Case1045,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_teacher_full_view_seed20260724_epoch075_74efedf6,teacher_full_view,
Case1045,CenterA,5,0,22,0.1757847533632287,0,1,40984.048370752644,46.810111292478524,LGE-only,0,scar,0.2641509433962264,20436.938098856495,1,0.13172043010752688,0.0,20260724,screen_teacher_full_view_seed20260724_epoch075_74efedf6,teacher_full_view,0.4986559139784946
Case1047,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260724,screen_teacher_full_view_seed20260724_epoch075_74efedf6,teacher_full_view,
Case1047,CenterA,5,0,29,0.3129162572333224,0,1,70019.66121200379,17.343599796295166,LGE-only,0,scar,0.5837067209775968,25641.149802426808,1,0.21375298329355608,0.0,20260724,screen_teacher_full_view_seed20260724_epoch075_74efedf6,teacher_full_view,0.36619928400954654
