variant,case_id,center,modality_group,t2_present,class_id,metric_name,dice,hd,hd95,component_count,small_fp_count,remote_fp_count,pred_gt_volume_ratio,pred_empty,gt_empty,invalid_label_values
edema_t2_center_balance,Case1002,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
edema_t2_center_balance,Case1002,CenterA,LGE-only,False,5,myops_scar,0.0,,,0,0,0,0.0,True,False,
edema_t2_center_balance,Case1007,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
edema_t2_center_balance,Case1007,CenterA,LGE-only,False,5,myops_scar,0.0,,,0,0,0,0.0,True,False,
edema_t2_center_balance,Case1009,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
edema_t2_center_balance,Case1009,CenterA,LGE-only,False,5,myops_scar,0.0,,,0,0,0,0.0,True,False,
edema_t2_center_balance,Case1010,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
edema_t2_center_balance,Case1010,CenterA,LGE-only,False,5,myops_scar,0.0,,,0,0,0,0.0,True,False,
edema_t2_center_balance,Case1021,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
edema_t2_center_balance,Case1021,CenterA,LGE-only,False,5,myops_scar,0.0,,,0,0,0,0.0,True,False,
edema_t2_center_balance,Case1023,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
edema_t2_center_balance,Case1023,CenterA,LGE-only,False,5,myops_scar,0.0,,,0,0,0,0.0,True,False,
edema_t2_center_balance,Case1029,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
edema_t2_center_balance,Case1029,CenterA,LGE-only,False,5,myops_scar,0.0,,,0,0,0,0.0,True,False,
edema_t2_center_balance,Case1033,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
edema_t2_center_balance,Case1033,CenterA,LGE-only,False,5,myops_scar,0.0,,,0,0,0,0.0,True,False,
edema_t2_center_balance,Case1040,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
