source_path,line,pattern,statement_excerpt,classification,v3_action
cascade_component_survival_ledger.csv,4,UNRESOLVED,"Cascade,prototype input,retrieve lesion context,confounded,unclear,unclear,no,unresolved,unresolved,control shared inputs,audit notes,invalid prototype-null conclusion,new clean control required,high,UNRESOLVED",机器状态冲突,V3 以 final_state/evidence_state 统一覆盖
case_error_taxonomy.csv,2,REQUIRES_,"UNSELECTED,REQUIRES_CASEWISE_METRICS",机器状态冲突,V3 以 final_state/evidence_state 统一覆盖
completion_check.md,3,NEEDS_REPAIR,controller_verification_decision: NEEDS_REPAIR,过期文字,V3 正文不得继承；以 v3_final_task_state.json 为准
component_final_output_effect.csv,2,NOT_RUN,"PRISM,proposal/prototype/refiner,NOT_RUN,NEEDS_FORWARD_AUDIT",机器状态冲突,V3 以 final_state/evidence_state 统一覆盖
controller_ledger.csv,9,NEEDS_REPAIR,"2026-07-30T04:03:17.729502+00:00,F0B_DIAGNOSTIC_READINESS,34ec050072294ad55f729bfc22b281c9f0552951,332bed6ad863135da2290634f1dbd3b548979c40344c7597f873ec6b3977e589,NO_NEW_JOB_PRELIGHT_ONLY,NEEDS_REPAIR_D0_READY,run D0 id",机器状态冲突,V3 以 final_state/evidence_state 统一覆盖
controller_report.md,3,NEEDS_REPAIR,过去多次失败目前最可信的共同问题不是某一个新结构缺得不够多，而是评价语义、checkpoint/recipe 绑定、训练预算、decoder/reset 诊断和病例级 evidence 没有被同口径冻结。其中 pure edema 与 edema-zone 混写、full-data MoSAIC 冒充 clean comparison、pending/未完成诊断冒充完成，是必须先清除的取证错误。本包已经生成可搜索中文 PDF 和机器可读,过期文字,V3 正文不得继承；以 v3_final_task_state.json 为准
controller_report.md,5,NEEDS_REPAIR,controller_verification_decision: NEEDS_REPAIR,过期文字,V3 正文不得继承；以 v3_final_task_state.json 为准
data_case_manifest.csv,2,UNRESOLVED,"Case1001,1,UNRESOLVED_FROM_SPLITS,LGE+C0+T2,True,True,True,256x256x9,1.367x1.367x11,UNREAD_NIFTI_LABEL_ONLY,UNREAD_NIFTI_LABEL_ONLY,UNRESOLVED,9,773,0,773,5326,13018,0,2,0,2,15894.112742208357,0.0,0.1451370634622606,scar",机器状态冲突,V3 以 final_state/evidence_state 统一覆盖
data_case_manifest.csv,3,UNRESOLVED,"Case1002,1,UNRESOLVED_FROM_SPLITS,LGE+C0+T2,True,True,True,256x256x9,1.367x1.367x10,UNREAD_NIFTI_LABEL_ONLY,UNREAD_NIFTI_LABEL_ONLY,UNRESOLVED,9,2062,0,2062,6846,11950,0,1,0,1,38543.643977929714,0.0,0.3011977797253871,sc",机器状态冲突,V3 以 final_state/evidence_state 统一覆盖
data_case_manifest.csv,4,UNRESOLVED,"Case1003,1,UNRESOLVED_FROM_SPLITS,LGE+C0+T2,True,True,True,256x256x9,1.367x1.367x12,UNREAD_NIFTI_LABEL_ONLY,UNREAD_NIFTI_LABEL_ONLY,UNRESOLVED,9,1403,0,1403,6925,7173,0,1,0,1,31470.455383725734,0.0,0.20259927797833935,sc",机器状态冲突,V3 以 final_state/evidence_state 统一覆盖
data_case_manifest.csv,5,UNRESOLVED,"Case1004,1,UNRESOLVED_FROM_SPLITS,LGE+C0+T2,True,True,True,256x256x32,1.367x1.367x4,UNREAD_NIFTI_LABEL_ONLY,UNREAD_NIFTI_LABEL_ONLY,UNRESOLVED,32,14126,0,14126,25710,38725,0,2,0,2,105619.30452613678,0.0,0.549436017113963",机器状态冲突,V3 以 final_state/evidence_state 统一覆盖
