clause_id,contract_clause,expected,observed,oracle_status,evidence,severity
PRIOR_FINDING_WALLTIME,formal wrapper walltime <= 8h,#SBATCH --time <= 08:00:00,walltime=08:00:00 hours=8.0,PASS,jobs/care_ase_r2/run_fold_chunk_htzhulab.sh:8,high
PRIOR_FINDING_GPU_COVERAGE,independent GPU case coverage,fold1 and fold4 independent srun receipts PASS with 16/16 conditions,"{""1"": {""checkpoint_reload_logits_max_abs_error"": 0.0, ""checkpoint_required_fields_present"": true, ""cuda_device"": ""NVIDIA H100 NVL"", ""decision"": ""PASS"", ""decode_no_t2_excludes_class4"": true, ""module_off_status"": ""PASS"", ""no_t2_zero_gradient"": true, ""outer_access_count_before_freeze"": 0, ""pass_condition_count"": 16, ""receipt_path"": ""/users/a/e/aereinh/.tmp/codex-CARE/20260803_care_ase_r2_full_fidelity_execution/reviewer_semantic_oracles/SEMANTIC_R2/3a3c078c8b4a1cba475f70bfd6835e45f75f42ad/g2_fold1/g2_real_gpu_fidelity_receipt_fold1.json"", ""receipt_sha256"": ""2818ecc6e150c71a9e23c1f034f03b1252d375897efe45f997ded142adeb08cb"", ""required_pass_condition_count"": 16, ""sampler_400_status"": ""PASS"", ""scheduler_status"": ""PASS"", ""sliding_window_finite_logits"": true, ""slurm_job_id"": ""61794608"", ""source_hash"": ""f8f66d153ad31a51547b1ad1b5cbaa09536b090c73b6cc23bdf29e5318b72b8e"", ""step0_status"": ""PASS""}, ""4"": {""checkpoint_reload_logits_max_abs_error"": 0.0, ""checkpoint_required_fields_present"": true, ""cuda_device"": ""NVIDIA H100 NVL"", ""decision"": ""PASS"", ""decode_no_t2_excludes_class4"": true, ""module_off_status"": ""PASS"", ""no_t2_zero_gradient"": true, ""outer_access_count_before_freeze"": 0, ""pass_condition_count"": 16, ""receipt_path"": ""/users/a/e/aereinh/.tmp/codex-CARE/20260803_care_ase_r2_full_fidelity_execution/reviewer_semantic_oracles/SEMANTIC_R2/3a3c078c8b4a1cba475f70bfd6835e45f75f42ad/g2_fold4/g2_real_gpu_fidelity_receipt_fold4.json"", ""receipt_sha256"": ""2e3c2bc0f082ff8354b361c6f41b02a1d585b98b365cec9ee53c88cdd41f6842"", ""required_pass_condition_count"": 16, ""sampler_400_status"": ""PASS"", ""scheduler_status"": ""PASS"", ""sliding_window_finite_logits"": true, ""slurm_job_id"": ""61830309"", ""source_hash"": ""f8f66d153ad31a51547b1ad1b5cbaa09536b090c73b6cc23bdf29e5318b72b8e"", ""step0_status"": ""PASS""}}",PASS,gpu_case_coverage_oracle.json,high
MODEL_STOCK_INHERITANCE,stock encoder/bottleneck/low-mid decoder and cloned pathology highest two stages,stock modules retained/cloned by source inspection,encoder/anatomy_decoder/low_mid plus branch deepcopy stage 4/5,PASS,src/care_myocardium/models/care_ase.py,high
DYNAMIC_INTROSPECTION,dynamic decoder introspection,actual stock decoder modules introspected,introspect_stock_decoder reads conv/transposed modules,PASS,src/care_myocardium/models/care_ase.py,high
ZERO_INIT_EVIDENCE,zero-init projections/adapters,projection and adapter final conv zero init,ZeroInitEvidenceProjection and ModalityAdapter zero final weights,PASS,src/care_myocardium/models/care_ase.py,high
NO_STOCK_PATHOLOGY_FALLBACK,no stock class4/5 inference fallback,final pathology logits from branch outputs and no-T2 decode excludes class4,no_t2_decoded=0,PASS,mutation_detection_report.json,high
PHYSICAL_TARGETS,physical targets with spacing and valid masks,"boundary positive inside, negative outside, valid mask as declared","{""edema_boundary_negative_outside_value"": -0.6726812124252319, ""edema_boundary_positive_inside_value"": 0.20000000298023224, ""edema_boundary_valid_far_corner"": 1, ""edema_boundary_valid_inside"": 1, ""edema_context_classes_present"": [-1, 0, 1, 2], ""edema_context_scar_voxels_ignore"": true, ""edema_slice_presence_sum"": 1.0, ""scar_context_classes_present"": [-1, 0, 1, 2], ""scar_slice_presence_sum"": 3.0, ""spacing_used_zyx"": [2.0, 1.5, 1.0], ""status"": ""PASS""}",PASS,physical_target_oracle.json,high
LOSS_NO_T2,loss formulas and no-T2 denominator/gradient,pure no-T2 edema-exclusive loss and gradient exact zero; T2 case nonzero gradient,"{""five_class_loss_keys_present"": {""five_class_ce_without_class4"": true, ""five_class_dice_without_class4"": true}, ""pure_no_t2_edema_exclusive_total_loss"": -0.0, ""pure_no_t2_total_loss"": 6.248459815979004, ""pure_no_t2_z_pure_edema_grad_max"": 0.0, ""status"": ""PASS"", ""t2_present_total_loss"": 8.053298950195312, ""t2_present_z_pure_edema_grad_max"": 0.0039432174526154995}",PASS,loss_formula_oracle.json,high
LOSS_SCALE,frozen loss weights,all declared weights match contract,all rows PASS,PASS,loss_scale_audit.csv,high
SAMPLER_AB_STAGE_C,sampler 400-step A/B and Stage C composition,A/B 10/5/5 and Stage C complete CenterB/CenterC,PASS,PASS,sampler_composition_oracle.json,high
CANONICAL_OOF,canonical stock OOF provenance/no min crop,held-out stock OOF source and no bad cases,PASS,PASS,canonical_stock_oof_oracle.json,high
PARAM_GROUP_ID,parameter object-id grouping,id-param grouping and dedupe present,PASS,PASS,parameter_group_oracle.json,high
EXACT_RESUME_DESCRIPTOR,exact resume descriptor continuity,saved next descriptor equals descriptor after sampler state reload,PASS,PASS,exact_resume_oracle.json,high
MUTATION_DETECTION,adversarial mutation checks,decode/sign/walltime mutations detected,all detected,PASS,mutation_detection_report.json,high
