care_scf_gate_output,case_id,component_id,decision_reason,decision_status,diagnostic_oracle_action,dice_delta_mosaic_minus_nnunet,fold,gt_positive,modality_availability,mosaic_prediction,nnunet_prediction,pathology,pathology_component,remote_fp_delta_mosaic_minus_nnunet,t2_present
retain,Case1002,Case1002:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,467.3089716043854,0
retain,Case1002,Case1002:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.4796508862277926,0,1,LGE-only,0.13708920187793427,0.6167400881057269,scar,scar,0.0,0
retain,Case1007,Case1007:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,44300.89050809574,0
retain,Case1007,Case1007:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.3328623888907353,0,1,LGE-only,0.248230412496949,0.5810928013876843,scar,scar,2086.0672492419767,0
retain,Case1009,Case1009:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,20739.172159802627,0
retain,Case1009,Case1009:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.5157733106799536,0,1,LGE-only,0.08910714285714286,0.6048804535370964,scar,scar,14813.69439985902,0
retain,Case1010,Case1010:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,29305.88022725422,0
retain,Case1010,Case1010:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.23728682876121526,0,1,LGE-only,0.2455069515089861,0.48279378027020137,scar,scar,1127.1492395097775,0
retain,Case1021,Case1021:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,13374.382767317511,0
retain,Case1021,Case1021:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.16761087801151503,0,1,LGE-only,0.4023083264633141,0.5699192044748291,scar,scar,0.0,0
retain,Case1023,Case1023:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,106195.82524853737,0
retain,Case1023,Case1023:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.5802426124314537,0,1,LGE-only,0.06635853416969296,0.6466011466011466,scar,scar,22286.185098413112,0
retain,Case1029,Case1029:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,44237.34595708237,0
retain,Case1029,Case1029:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.16436865021770683,0,1,LGE-only,0.0,0.16436865021770683,scar,scar,3792.276467612723,0
retain,Case1033,Case1033:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,54238.37273446104,0
retain,Case1033,Case1033:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.5787629764059736,0,1,LGE-only,0.09259805367148334,0.671361030077457,scar,scar,1578.6453202387847,0
retain,Case1040,Case1040:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,98397.5116789626,0
retain,Case1040,Case1040:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.32248641715371307,0,1,LGE-only,0.10552147239263804,0.4280078895463511,scar,scar,14966.971742545256,0
retain,Case1042,Case1042:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,176264.27099945815,0
retain,Case1042,Case1042:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.6931147540983607,0,1,LGE-only,0.06426229508196721,0.7573770491803279,scar,scar,51260.05571322825,0
retain,Case1045,Case1045:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,63404.08558432298,0
retain,Case1045,Case1045:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.027518429031865632,0,1,LGE-only,0.07217004448838359,0.09968847352024922,scar,scar,0.0,0
retain,Case1047,Case1047:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,28179.153632157853,0
retain,Case1047,Case1047:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.2521688218848722,0,1,LGE-only,0.3761432033143125,0.6283120251991847,scar,scar,5671.341891127396,0
retain,Case1053,Case1053:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,51003.41796875,0
retain,Case1053,Case1053:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.43732663064635857,0,1,LGE-only,0.08229747106729533,0.5196241017136539,scar,scar,12092.28515625,0
retain,Case1062,Case1062:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,130586.59919986415,0
retain,Case1062,Case1062:scar,fold0 oracle says MoSAIC scar would harm nnU-Net,NOT_ACTIVATED,retain,-0.3418478699206766,0,1,LGE-only,0.1652344846953103,0.5070823546159869,scar,scar,5529.668244635296,0
retain,Case1070,Case1070:pure_edema,fallback because SCF gate is not trained and/or label is unreliable,NOT_ACTIVATED,retain,,0,0,LGE-only,0.0,,pure_edema,pure_edema,20095.3125,0
