file_path,scanned_type,unresolved_token_count,unresolved_tokens,final_status,action_taken
results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_dictionary_fidelity_matrix.csv,csv,0,,HISTORICAL_NONREADY_STATE_RESOLVED_WITH_EVIDENCE_PATH,"resolved previous PENDING_RUNTIME and Slurm jobs pending rows to runtime-derived evidence paths"
results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_code_patch_summary.md,md,0,,HISTORICAL_NONREADY_STATE_RESOLVED_WITH_EVIDENCE_PATH,"resolved previous PARTIAL_CODE_REPAIR_NEEDS_RUNTIME_EVIDENCE summary to final post-job evidence paths"
results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_rrl_brr2_adaptation_contract.md,md,0,,HISTORICAL_NONREADY_STATE_RESOLVED_WITH_EVIDENCE_PATH,"resolved previous NEEDS_RUNTIME_EVIDENCE narrative to Pattern-SIP and invalid-slot evidence paths"
results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_nnunet_role_audit.md,md,0,,HISTORICAL_NONREADY_STATE_RESOLVED_WITH_EVIDENCE_PATH,"resolved previous RUNTIME_EVIDENCE_PENDING control narrative to same-split help/harm evidence paths"
results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_pathology_specific_refiner_contract.md,md,0,,HISTORICAL_NONREADY_STATE_RESOLVED_WITH_EVIDENCE_PATH,"resolved previous PENDING_RUNTIME refiner narrative to ROI and causal-effect evidence paths"
results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_prototype_memory_summary.json,json,0,,HISTORICAL_NONREADY_STATE_RESOLVED_WITH_EVIDENCE_PATH,"resolved previous PARTIAL_ONE_BATCH_PROTOTYPE_EVIDENCE_FORMAL_TRAINING_RUNNING status to train/OOF runtime prototype-memory evidence"
results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/completion_check.md,md,0,,NO_UNRESOLVED_TOKENS,"updated to M9_FOLLOWUP_READY_FOR_REAUDIT"
results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/result.md,md,0,,NO_UNRESOLVED_TOKENS,"updated with follow-up reconciliation summary"
results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_route_promotion_decision.md,md,0,,NO_UNRESOLVED_TOKENS,"kept no-promotion diagnostic-only decision with reconciled evidence"
results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_next_required_action.md,md,0,,NO_UNRESOLVED_TOKENS,"kept GPT_REPLAN_AFTER_M9_NO_PROMOTION"
results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_followup_stale_status_scan.csv,csv,0,,HISTORICAL_NONREADY_STATE_RESOLVED_WITH_EVIDENCE_PATH,"scan covers Markdown CSV and JSON; configured token set includes PENDING_RUNTIME, PARTIAL_CODE_REPAIR_NEEDS_RUNTIME_EVIDENCE, PARTIAL_ONE_BATCH_PROTOTYPE_EVIDENCE_FORMAL_TRAINING_RUNNING, FORMAL_TRAINING_RUNNING, NEEDS_RUNTIME_EVIDENCE, RUNTIME_EVIDENCE_PENDING, SLURM JOBS PENDING, JOBS PENDING, AWAITING_SACCT, NEEDS_MONITOR, PENDING_MONITOR, JOB_SUBMITTED, PENDING_PRIORITY, RUNNING, and not sufficient for M9_READY_FOR_REVIEW"
